NUM_BANKCARD_QUERIES_LAST_6_MO,S207A,CO06S,TK0901,SCRG063,AT01S,AT20S,RVLR03,BC101S,G980S,BKUTIL,IQT9421,REH5030,CAMPAIGN_ID,CAMPAIGN_SUB_CD,UNDRWRTE_STRAT_IN,CRED_BUREAU_LOC_CD,FICO_SCORE,FICO_FACTOR_1,CRED_SCORE_1,RISK_SCORE_1,RISK_SCORE_1_FACTOR_1,CRED_SCORE_2,RISK_SCORE_2,INMARKET_IN,UNDER18_IN,DECEASED_IN,FROZEN_CREDRPT_IN,BANK_ACCT_CD,EXTEND_FRAUD_ALERT_IN,OLLO_OPEN_ACCT_CT,RECENT_APPL_IN,ATP_MAX_CREDIT_LINE,FAILED_ATP_IN,BUREAU_ERROR_CD,CONSUMER_STMT_TYPE_IN,BUREAU_MSG_CD_LIST,FRAUD_SHIELD_TYPE_LIST,DECISION_CD,CREDIT_LINE_AMT,CASH_LINE_AMT,LTR_TEMPLATE_ID,ADVERSE_ACT_RSN_1,ADVERSE_ACT_RSN_2,ADVERSE_ACT_RSN_3,ADVERSE_ACT_RSN_4,POLICY_RULES_USED,POST_BUR_RND_NUM_1,VANTAGE_SCORE,ALL0100,ALL0300,ALL2356,ALL5020,ALL5030,ALL5045,ALL5301,ALL5830,ALL8164,ALL8220,ALL9210,ALL9220,BCA5020,BCC0416,BCC5030,BCC7140,IQB9416,MTA5830,FIP5020,TU_VANTAGE_3,TU_VANT_3_FACTOR_1,TU_VANT_3_FACTOR_2,TU_VANT_3_FACTOR_3,TU_VANT_3_FACTOR_4,TU_VANT_3_FACTOR_5,TU_STATUS,LN_STATUS,CUST_MOD_3_FIN_SCR,CUST_MOD_3_FIN_SCR_DEC,CUST_MOD_3_TIMEOUT,CUST_MOD_3_ERROR,CUST_MOD_4_FIN_SCR,CUST_MOD_4_FIN_SCR_DEC,CUST_MOD_4_TIMEOUT,CUST_MOD_4_ERROR,CUST_MOD_6_FIN_SCR,CUST_MOD_6_FIN_SCR_DEC,CUST_MOD_6_TIMEOUT,CUST_MOD_6_ERROR,CUST_MOD_7_FIN_SCR,CUST_MOD_7_FIN_SCR_DEC,CUST_MOD_7_TIMEOUT,CUST_MOD_7_ERROR,CUST_MOD_3_FIN_SCR_RANKED_AR,CUST_MOD_6_FIN_SCR_RANKED_AR,SSNAWF3Y,TFRAA6M,TFRAA1Y,TFRANDOB2Y,TFRANDOB3Y,TFRANDOB6M,TFRANDOB1Y,IDFS
0,38,-1,-3,2,19,180,0,783,0,17,0,788,23,2,6,5,681,38,710,3,1033,750,4,Y,N,N,N,2,N,0,N,-18929,Y,,,57,121,D,0,0,1002,1107,,,,1107,917,0,16,16,0,788,788,0,0,75,9996,124,40,40,783,1,783,78,0,999999997,999999998,695,98,14,15,12,2,Y,,4.316720963,3,N,N,4.490004539,3,N,N,0,448,,,0,448,,,,,,,,,,,,0
1,-1,-1,-2,0,2,7,1676,1676,-4,73,1,3120,23,4,6,5,684,38,649,7,18,715,6,Y,N,N,N,1,N,0,N,257825,N,,,57,1121,A,500,150,,,,,,A003,969,0,17,15,0,10026,10026,0,0,392,70,203,68,68,3120,4,3120,73,1,999999997,999999998,618,97,12,96,4,4,Y,,11.72581768,6,N,N,16.43579102,7,N,N,0,448,,,0,448,,,2095      2050      2033,,FALSE,0,0,0,0,0,0,899
1,6,-1,-2,0,49,86,3386,8427,1,0,0,6397,22,5,6,5,661,38,620,9,K6,683,8,Y,N,N,N,1,N,0,N,198604,N,,,57,,A,300,90,,,,,,A003,357,0,42,39,1,25284,25284,0,0,683,9996,86,13,13,6397,5,6397,52,0,999999998,18887,641,98,12,14,32,2,Y,,7.551072121,5,N,N,11.0147171,6,N,N,0,448,,,0,448,,,2034      2018      2031      2122,,FALSE,0,0,0,0,0,0,847
0,18,-2,1539,0,17,504,0,446,0,39,0,664,23,2,6,5,680,38,708,3,18,773,3,Y,N,N,N,1,N,0,N,142208,N,,,57,70821,A,1600,480,,,,,,A003,127,0,18,16,0,12414,12414,0,0,520,38,504,23,23,664,2,664,40,0,999999998,999999998,662,98,14,7,30,2,Y,,3.051830292,2,N,N,7.732626915,5,N,N,0,448,,,0,448,,,,,FALSE,0,0,0,0,0,0,645
0,52,-1,-3,0,18,114,0,1652,1,55,0,2196,23,2,6,5,647,38,655,7,D2,720,6,Y,N,N,N,1,N,0,N,142338,N,,,57,1121,A,1000,300,,,,,,A003,631,0,15,15,0,91374,91374,0,0,849,9996,114,54,54,1652,2,1652,55,0,999999998,999999998,686,98,14,12,94,2,Y,,5.977945328,4,N,N,4.237517357,3,N,N,0,448,,,0,448,,,,,FALSE,0,0,0,0,0,0,477
1,70,0,750,0,11,281,0,12157,2,0,0,1268,23,3,6,5,607,38,585,10,34,629,10,Y,N,N,N,1,N,0,N,172208,N,,,57,21,A,300,90,,,,,,A003,943,0,17,12,0,1268,1268,0,2338,35,44,281,70,70,1268,1,1268,63,1,999999998,999999998,665,98,14,7,12,2,Y,,11.48538017,6,N,N,17.07583618,7,N,N,0,448,,,0,448,,,2018      2033      2016      2107,,FALSE,0,0,0,0,0,0,839
1,-1,-1,-3,0,11,185,448,448,0,90,0,448,23,1,6,5,586,40,671,6,34,698,7,Y,N,N,N,1,N,0,N,147338,N,,,57,103,A,500,150,,,,,,A003,274,0,13,13,0,11549,11549,0,0,395,9996,237,9999,9999,448,1,448,100,0,999999997,999999998,614,12,4,7,61,8,Y,,11.51129818,6,N,N,12.91062832,6,N,N,0,448,,,0,448,,,2050      2108      2049      2107,,FALSE,0,0,0,0,0,0,691
2,-1,-1,-3,0,8,149,0,4938,1,90,0,9171,23,2,6,5,687,40,669,6,P6,744,4,Y,N,N,N,1,N,0,N,85162,N,,,57,21,A,1600,480,,,,,,A003,331,0,7,7,0,55959,55959,0,0,1460,9996,143,44,44,4938,2,4938,90,1,999999998,999999997,668,98,14,12,34,2,Y,,7.643475533,5,N,N,5.659179688,4,N,N,0,448,,,0,448,,,2067      2110      2120      2068,,FALSE,0,0,0,0,0,0,648
3,0,0,0,0,0,0,0,0,0,0,0,800,23,2,6,3,607,38,578,10,P6,658,9,Y,N,N,N,2,N,0,N,170032,N,,,57,1161921,D,0,0,1002,2050,2107,2018,2095,1060,552,0,30,27,0,800,800,0,0,63,9996,127,13,13,800,2,800,100,1,999999997,999999997,,,,,,,E,,15.91571712,7,N,N,10.14266872,6,N,N,0,448,,,0,448,,,2050      2107      2018      2095,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,6,,0,,0,0,,0,0,,,,,1,,0,Y,0,,,,,,D,0,0,1001,1004,,,,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,0
0,-1,-2,5954,0,20,209,0,5954,0,0,0,561,23,1,6,5,637,39,734,2,34,758,3,Y,N,N,N,2,N,0,N,124578,N,,,57,1121,A,2500,750,,,,,,A003,105,0,24,21,0,9881,9881,0,6971,580,20,237,9999,9999,456,1,456,91,0,999999997,999999998,657,39,61,34,12,9,Y,,4.077311516,3,N,N,3.665365219,2,N,N,0,448,,,0,448,,,,,FALSE,0,0,0,0,0,0,507
0,-1,-2,16796,0,18,239,0,16850,0,18,0,283,23,1,6,5,620,39,759,1,34,761,3,Y,N,N,N,2,N,0,N,78539,N,,,57,121,A,2500,750,,,,,,A003,451,0,18,17,0,283,283,0,16805,81,20,239,9999,9999,54,2,54,1,0,999999997,999999998,725,7,12,43,85,12,Y,,2.858312607,2,N,N,2.782710075,2,N,N,0,448,,,0,448,,,,,FALSE,0,0,0,0,0,0,452
